IncidentID,ClaimID,IncidentDate,IncidentType,Severity,Description
INC00001,CLM00001,27/04/2023,Electrical Surge,Medium,Smoke damage to living room
INC00002,CLM00001,16/04/2023,Electrical Surge,Low,Minor scratch
INC00003,CLM00002,24/05/2025,Fire Outbreak,Low,Water damage to electronics
INC00004,CLM00002,26/06/2025,Flood Damage,High,Smoke damage to living room
INC00005,CLM00003,08/08/2021,Theft,Medium,Smoke damage to living room
INC00006,CLM00003,22/08/2021,Theft,Low,Smoke damage to living room
INC00007,CLM00004,12/05/2021,Collision,Medium,Stolen belongings reported
INC00008,CLM00004,05/05/2021,Flood Damage,Low,Severe flood in property
INC00009,CLM00005,14/03/2021,Electrical Surge,Medium,Admitted for 3 days
INC00010,CLM00005,24/02/2021,Theft,High,Smoke damage to living room
INC00011,CLM00006,21/05/2025,Burglary,Medium,Admitted for 3 days
INC00012,CLM00007,15/02/2024,Electrical Surge,High,Smoke damage to living room
INC00013,CLM00007,05/03/2024,Flood Damage,Medium,Broken window and missing items
INC00014,CLM00007,16/02/2024,Electrical Surge,Medium,Severe flood in property
INC00015,CLM00008,29/06/2024,Burglary,Medium,Engine damage reported
INC00016,CLM00008,25/06/2024,Water Leakage,Low,Vehicle collision on express road
INC00017,CLM00009,31/01/2024,Fire Outbreak,Low,Engine damage reported
INC00018,CLM00009,25/02/2024,Burglary,Low,Minor scratch
INC00019,CLM00010,30/03/2026,Water Leakage,High,Smoke damage to living room
INC00020,CLM00010,26/02/2026,Theft,Low,Broken window and missing items
INC00021,CLM00011,18/05/2024,Road Accident,Medium,Stolen belongings reported
INC00022,CLM00011,15/05/2024,Fire Outbreak,Low,Smoke damage to living room
INC00023,CLM00011,09/06/2024,Burglary,Low,Water damage to electronics
INC00024,CLM00012,18/02/2025,Burglary,Low,Minor scratch
INC00025,CLM00013,25/01/2022,Road Accident,Medium,Water damage to electronics
INC00026,CLM00013,29/01/2022,Water Leakage,Medium,Minor scratch
INC00027,CLM00014,03/10/2021,Road Accident,High,Smoke damage to living room
INC00028,CLM00014,24/09/2021,Theft,Medium,Broken window and missing items
INC00029,CLM00015,05/10/2024,Medical Emergency,Low,Engine damage reported
INC00030,CLM00016,05/12/2021,Road Accident,Medium,Admitted for 3 days
INC00031,CLM00016,07/12/2021,Fire Outbreak,Medium,Smoke damage to living room
INC00032,CLM00017,24/04/2025,Burglary,Low,Admitted for 3 days
INC00033,CLM00017,23/05/2025,Water Leakage,Medium,Severe flood in property
INC00034,CLM00018,17/07/2025,Water Leakage,Medium,Water damage to electronics
INC00035,CLM00018,11/07/2025,Burglary,Medium,Engine damage reported
INC00036,CLM00018,14/07/2025,Medical Emergency,Medium,Water damage to electronics
INC00037,CLM00019,15/03/2024,Collision,Medium,Vehicle collision on express road
INC00038,CLM00019,29/03/2024,Flood Damage,Medium,Water damage to electronics
INC00039,CLM00020,05/03/2020,Electrical Surge,Medium,Minor scratch
INC00040,CLM00020,23/03/2020,Theft,Medium,Admitted for 3 days
INC00041,CLM00020,19/02/2020,Medical Emergency,Medium,Broken window and missing items
INC00042,CLM00021,14/04/2024,Electrical Surge,Medium,Water damage to electronics
INC00043,CLM00022,06/06/2023,Medical Emergency,Low,Stolen belongings reported
INC00044,CLM00022,19/05/2023,Fire Outbreak,Medium,Admitted for 3 days
INC00045,CLM00023,24/02/2025,Electrical Surge,Medium,Severe flood in property
INC00046,CLM00023,08/02/2025,Burglary,Low,Smoke damage to living room
INC00047,CLM00024,16/04/2023,Burglary,Medium,Admitted for 3 days
INC00048,CLM00024,29/04/2023,Theft,Low,Water damage to electronics
INC00049,CLM00025,09/03/2022,Water Leakage,High,Water damage to electronics
INC00050,CLM00025,10/03/2022,Flood Damage,Low,Water damage to electronics
INC00051,CLM00025,18/02/2022,Flood Damage,Low,Water damage to electronics
INC00052,CLM00026,01/07/2026,Medical Emergency,Low,Severe flood in property
INC00053,CLM00026,25/06/2026,Burglary,Low,Broken window and missing items
INC00054,CLM00027,10/06/2021,Electrical Surge,Low,Engine damage reported
INC00055,CLM00027,10/05/2021,Burglary,High,Water damage to electronics
INC00056,CLM00027,13/06/2021,Road Accident,Medium,Broken window and missing items
INC00057,CLM00028,28/07/2022,Road Accident,Medium,Water damage to electronics
INC00058,CLM00028,12/08/2022,Flood Damage,Low,Vehicle collision on express road
INC00059,CLM00029,10/11/2021,Flood Damage,Medium,Severe flood in property
INC00060,CLM00029,20/11/2021,Burglary,Low,Water damage to electronics
INC00061,CLM00029,14/11/2021,Collision,Medium,Engine damage reported
INC00062,CLM00030,18/09/2022,Burglary,Low,Engine damage reported
INC00063,CLM00030,19/09/2022,Road Accident,High,Water damage to electronics
INC00064,CLM00031,06/10/2024,Burglary,Medium,Smoke damage to living room
INC00065,CLM00031,28/10/2024,Theft,Low,Severe flood in property
INC00066,CLM00032,14/06/2023,Collision,Medium,Severe flood in property
INC00067,CLM00033,08/07/2025,Collision,High,Broken window and missing items
INC00068,CLM00033,08/07/2025,Theft,Medium,Stolen belongings reported
INC00069,CLM00034,06/01/2025,Electrical Surge,Medium,Engine damage reported
INC00070,CLM00034,21/12/2024,Medical Emergency,Medium,Water damage to electronics
INC00071,CLM00035,14/04/2023,Water Leakage,Low,Broken window and missing items
INC00072,CLM00035,04/04/2023,Electrical Surge,Low,Severe flood in property
INC00073,CLM00036,30/06/2026,Fire Outbreak,Low,Vehicle collision on express road
INC00074,CLM00036,25/06/2026,Road Accident,Medium,Vehicle collision on express road
INC00075,CLM00037,27/07/2022,Burglary,High,Severe flood in property
INC00076,CLM00038,22/09/2024,Electrical Surge,Medium,Smoke damage to living room
INC00077,CLM00038,09/09/2024,Collision,Low,Stolen belongings reported
INC00078,CLM00038,09/10/2024,Road Accident,High,Severe flood in property
INC00079,CLM00039,05/06/2025,Electrical Surge,Medium,Smoke damage to living room
INC00080,CLM00039,11/06/2025,Electrical Surge,Low,Water damage to electronics
INC00081,CLM00040,26/03/2023,Water Leakage,Low,Smoke damage to living room
INC00082,CLM00040,03/03/2023,Burglary,High,Water damage to electronics
INC00083,CLM00041,20/04/2020,Fire Outbreak,Medium,Broken window and missing items
INC00084,CLM00041,16/04/2020,Collision,High,Vehicle collision on express road
INC00085,CLM00042,22/11/2020,Water Leakage,Medium,Engine damage reported
INC00086,CLM00042,26/11/2020,Electrical Surge,Low,Stolen belongings reported
INC00087,CLM00042,08/11/2020,Flood Damage,Medium,Smoke damage to living room
INC00088,CLM00043,26/10/2022,Medical Emergency,Low,Admitted for 3 days
INC00089,CLM00043,18/10/2022,Flood Damage,Low,Stolen belongings reported
INC00090,CLM00043,20/11/2022,Theft,Low,Smoke damage to living room
INC00091,CLM00044,05/11/2021,Flood Damage,Medium,Admitted for 3 days
INC00092,CLM00045,09/07/2023,Burglary,Low,Broken window and missing items
INC00093,CLM00045,12/07/2023,Water Leakage,High,Minor scratch
INC00094,CLM00046,10/08/2021,Theft,Low,Minor scratch
INC00095,CLM00046,11/07/2021,Burglary,Low,Broken window and missing items
INC00096,CLM00047,22/06/2021,Collision,Medium,Smoke damage to living room
INC00097,CLM00047,15/07/2021,Fire Outbreak,High,Severe flood in property
INC00098,CLM00048,31/01/2025,Fire Outbreak,High,Stolen belongings reported
INC00099,CLM00048,28/01/2025,Burglary,Medium,Stolen belongings reported
INC00100,CLM00048,01/02/2025,Flood Damage,Low,Minor scratch
INC00101,CLM00049,07/01/2021,Electrical Surge,Low,Stolen belongings reported
INC00102,CLM00049,15/01/2021,Burglary,High,Broken window and missing items
INC00103,CLM00050,30/08/2025,Collision,High,Severe flood in property
INC00104,CLM00050,28/07/2025,Medical Emergency,Medium,Stolen belongings reported
INC00105,CLM00051,15/05/2026,Flood Damage,Low,Engine damage reported
INC00106,CLM00051,19/05/2026,Flood Damage,Low,Water damage to electronics
INC00107,CLM00052,10/08/2023,Burglary,Medium,Minor scratch
INC00108,CLM00053,26/12/2025,Medical Emergency,Low,Water damage to electronics
INC00109,CLM00053,05/01/2026,Burglary,Medium,Smoke damage to living room
INC00110,CLM00053,12/12/2025,Medical Emergency,High,Broken window and missing items
INC00111,CLM00054,24/10/2020,Burglary,Low,Admitted for 3 days
INC00112,CLM00054,19/10/2020,Flood Damage,Medium,Stolen belongings reported
INC00113,CLM00055,24/05/2023,Fire Outbreak,Low,Broken window and missing items
INC00114,CLM00056,06/06/2025,Road Accident,Low,Broken window and missing items
INC00115,CLM00056,13/06/2025,Water Leakage,Low,Vehicle collision on express road
INC00116,CLM00057,15/02/2022,Theft,Medium,Vehicle collision on express road
INC00117,CLM00058,19/11/2024,Road Accident,Low,Vehicle collision on express road
INC00118,CLM00059,10/03/2023,Burglary,Medium,Water damage to electronics
INC00119,CLM00059,29/03/2023,Flood Damage,Low,Engine damage reported
