RenewalID,PolicyNo,RenewalDate,Amount,PaymentMethod
R00001,POL00001,11/12/2021,90000,Cash
R00002,POL00004,28/03/2026,180000,Card
R00003,POL00005,08/03/2021,"₦60,000",USSD
R00004,POL00006,08/11/2022,120000,Cash
R00005,POL00010,02/03/2022,180000,Card
R00006,POL00011,25/06/2022,90000,USSD
R00007,POL00011,07/07/2023,120000,Cash
R00008,POL00012,20/10/2026,45000,Card
R00009,POL00013,16/12/2021,45000,Cash
R00010,POL00014,30/06/2025,120000,Cash
R00011,POL00015,27/11/2022,120000,Cash
R00012,POL00017,30/12/2022,180000,Card
R00013,POL00018,19/10/2021,45000,USSD
R00014,POL00019,10/10/2025,180000,Cash
R00015,POL00021,19/10/2022,120000,Cash
R00016,POL00021,25/10/2023,180000,Transfer
R00017,POL00022,20/06/2024,120000,Cash
R00018,POL00026,15/04/2022,45000,Transfer
R00019,POL00027,23/04/2021,180000,Transfer
R00020,POL00029,13/04/2023,"₦45,000",Cash
R00021,POL00031,07/10/2022,60000,Card
R00022,POL00032,24/09/2024,90000,Card
R00023,POL00034,27/03/2026,,Card
R00024,POL00035,13/04/2023,60000,Transfer
R00025,POL00035,30/03/2024,180000,Transfer
R00026,POL00038,11/03/2026,45000,Transfer
R00027,POL00039,21/01/2027,60000,USSD
R00028,POL00040,09/11/2025,120000,Transfer
R00029,POL00041,01/11/2022,"₦180,000",Card
R00030,POL00041,22/11/2023,60000,Transfer
R00031,POL00044,04/04/2021,"₦120,000",Card
R00032,POL00045,16/03/2022,45000,Cash
R00033,POL00046,26/03/2027,"₦120,000",Cash
R00034,POL00046,16/03/2028,120000,Transfer
R00035,POL00047,31/07/2021,45000,Cash
R00036,POL00048,28/02/2025,120000,Card
R00037,POL00052,29/03/2025,120000,Card
R00038,POL00053,08/10/2025,60000,USSD
R00039,POL00054,12/07/2024,"₦180,000",Card
R00040,POL00055,27/07/2022,120000,Card
R00041,POL00057,18/01/2026,120000,Transfer
R00042,POL00059,28/03/2025,60000,Card
R00043,POL00065,21/10/2024,180000,USSD
R00044,POL00066,02/12/2023,120000,USSD
R00045,POL00070,09/09/2023,"₦180,000",USSD
R00046,POL00071,18/05/2023,90000,Cash
R00047,POL00072,01/12/2026,90000,USSD
R00048,POL00073,23/10/2023,120000,Card
R00049,POL00074,30/10/2023,180000,Card
R00050,POL00075,30/04/2026,180000,USSD
