DateKey,FullDate,Year,Quarter,Month,MonthName,Day,DayOfWeek
20200101,01/01/2020,2020,Q1,1,January,1,Wednesday
20200102,02/01/2020,2020,Q1,1,January,2,Thursday
20200103,03/01/2020,2020,Q1,1,January,3,Friday
20200104,04/01/2020,2020,Q1,1,January,4,Saturday
20200105,05/01/2020,2020,Q1,1,January,5,Sunday
20200106,06/01/2020,2020,Q1,1,January,6,Monday
20200107,07/01/2020,2020,Q1,1,January,7,Tuesday
20200108,08/01/2020,2020,Q1,1,January,8,Wednesday
20200109,09/01/2020,2020,Q1,1,January,9,Thursday
20200110,10/01/2020,2020,Q1,1,January,10,Friday
20200111,11/01/2020,2020,Q1,1,January,11,Saturday
20200112,12/01/2020,2020,Q1,1,January,12,Sunday
20200113,13/01/2020,2020,Q1,1,January,13,Monday
20200114,14/01/2020,2020,Q1,1,January,14,Tuesday
20200115,15/01/2020,2020,Q1,1,January,15,Wednesday
20200116,16/01/2020,2020,Q1,1,January,16,Thursday
20200117,17/01/2020,2020,Q1,1,January,17,Friday
20200118,18/01/2020,2020,Q1,1,January,18,Saturday
20200119,19/01/2020,2020,Q1,1,January,19,Sunday
20200120,20/01/2020,2020,Q1,1,January,20,Monday
20200121,21/01/2020,2020,Q1,1,January,21,Tuesday
20200122,22/01/2020,2020,Q1,1,January,22,Wednesday
20200123,23/01/2020,2020,Q1,1,January,23,Thursday
20200124,24/01/2020,2020,Q1,1,January,24,Friday
20200125,25/01/2020,2020,Q1,1,January,25,Saturday
20200126,26/01/2020,2020,Q1,1,January,26,Sunday
20200127,27/01/2020,2020,Q1,1,January,27,Monday
20200128,28/01/2020,2020,Q1,1,January,28,Tuesday
20200129,29/01/2020,2020,Q1,1,January,29,Wednesday
20200130,30/01/2020,2020,Q1,1,January,30,Thursday
20200131,31/01/2020,2020,Q1,1,January,31,Friday
20200201,01/02/2020,2020,Q1,2,February,1,Saturday
20200202,02/02/2020,2020,Q1,2,February,2,Sunday
20200203,03/02/2020,2020,Q1,2,February,3,Monday
20200204,04/02/2020,2020,Q1,2,February,4,Tuesday
20200205,05/02/2020,2020,Q1,2,February,5,Wednesday
20200206,06/02/2020,2020,Q1,2,February,6,Thursday
20200207,07/02/2020,2020,Q1,2,February,7,Friday
20200208,08/02/2020,2020,Q1,2,February,8,Saturday
20200209,09/02/2020,2020,Q1,2,February,9,Sunday
20200210,10/02/2020,2020,Q1,2,February,10,Monday
20200211,11/02/2020,2020,Q1,2,February,11,Tuesday
20200212,12/02/2020,2020,Q1,2,February,12,Wednesday
20200213,13/02/2020,2020,Q1,2,February,13,Thursday
20200214,14/02/2020,2020,Q1,2,February,14,Friday
20200215,15/02/2020,2020,Q1,2,February,15,Saturday
20200216,16/02/2020,2020,Q1,2,February,16,Sunday
20200217,17/02/2020,2020,Q1,2,February,17,Monday
20200218,18/02/2020,2020,Q1,2,February,18,Tuesday
20200219,19/02/2020,2020,Q1,2,February,19,Wednesday
20200220,20/02/2020,2020,Q1,2,February,20,Thursday
20200221,21/02/2020,2020,Q1,2,February,21,Friday
20200222,22/02/2020,2020,Q1,2,February,22,Saturday
20200223,23/02/2020,2020,Q1,2,February,23,Sunday
20200224,24/02/2020,2020,Q1,2,February,24,Monday
20200225,25/02/2020,2020,Q1,2,February,25,Tuesday
20200226,26/02/2020,2020,Q1,2,February,26,Wednesday
20200227,27/02/2020,2020,Q1,2,February,27,Thursday
20200228,28/02/2020,2020,Q1,2,February,28,Friday
20200229,29/02/2020,2020,Q1,2,February,29,Saturday
20200301,01/03/2020,2020,Q1,3,March,1,Sunday
20200302,02/03/2020,2020,Q1,3,March,2,Monday
20200303,03/03/2020,2020,Q1,3,March,3,Tuesday
20200304,04/03/2020,2020,Q1,3,March,4,Wednesday
20200305,05/03/2020,2020,Q1,3,March,5,Thursday
20200306,06/03/2020,2020,Q1,3,March,6,Friday
20200307,07/03/2020,2020,Q1,3,March,7,Saturday
20200308,08/03/2020,2020,Q1,3,March,8,Sunday
20200309,09/03/2020,2020,Q1,3,March,9,Monday
20200310,10/03/2020,2020,Q1,3,March,10,Tuesday
20200311,11/03/2020,2020,Q1,3,March,11,Wednesday
20200312,12/03/2020,2020,Q1,3,March,12,Thursday
20200313,13/03/2020,2020,Q1,3,March,13,Friday
20200314,14/03/2020,2020,Q1,3,March,14,Saturday
20200315,15/03/2020,2020,Q1,3,March,15,Sunday
20200316,16/03/2020,2020,Q1,3,March,16,Monday
20200317,17/03/2020,2020,Q1,3,March,17,Tuesday
20200318,18/03/2020,2020,Q1,3,March,18,Wednesday
20200319,19/03/2020,2020,Q1,3,March,19,Thursday
20200320,20/03/2020,2020,Q1,3,March,20,Friday
20200321,21/03/2020,2020,Q1,3,March,21,Saturday
20200322,22/03/2020,2020,Q1,3,March,22,Sunday
20200323,23/03/2020,2020,Q1,3,March,23,Monday
20200324,24/03/2020,2020,Q1,3,March,24,Tuesday
20200325,25/03/2020,2020,Q1,3,March,25,Wednesday
20200326,26/03/2020,2020,Q1,3,March,26,Thursday
20200327,27/03/2020,2020,Q1,3,March,27,Friday
20200328,28/03/2020,2020,Q1,3,March,28,Saturday
20200329,29/03/2020,2020,Q1,3,March,29,Sunday
20200330,30/03/2020,2020,Q1,3,March,30,Monday
20200331,31/03/2020,2020,Q1,3,March,31,Tuesday
20200401,01/04/2020,2020,Q2,4,April,1,Wednesday
20200402,02/04/2020,2020,Q2,4,April,2,Thursday
20200403,03/04/2020,2020,Q2,4,April,3,Friday
20200404,04/04/2020,2020,Q2,4,April,4,Saturday
20200405,05/04/2020,2020,Q2,4,April,5,Sunday
20200406,06/04/2020,2020,Q2,4,April,6,Monday
20200407,07/04/2020,2020,Q2,4,April,7,Tuesday
20200408,08/04/2020,2020,Q2,4,April,8,Wednesday
20200409,09/04/2020,2020,Q2,4,April,9,Thursday
20200410,10/04/2020,2020,Q2,4,April,10,Friday
20200411,11/04/2020,2020,Q2,4,April,11,Saturday
20200412,12/04/2020,2020,Q2,4,April,12,Sunday
20200413,13/04/2020,2020,Q2,4,April,13,Monday
20200414,14/04/2020,2020,Q2,4,April,14,Tuesday
20200415,15/04/2020,2020,Q2,4,April,15,Wednesday
20200416,16/04/2020,2020,Q2,4,April,16,Thursday
20200417,17/04/2020,2020,Q2,4,April,17,Friday
20200418,18/04/2020,2020,Q2,4,April,18,Saturday
20200419,19/04/2020,2020,Q2,4,April,19,Sunday
20200420,20/04/2020,2020,Q2,4,April,20,Monday
20200421,21/04/2020,2020,Q2,4,April,21,Tuesday
20200422,22/04/2020,2020,Q2,4,April,22,Wednesday
20200423,23/04/2020,2020,Q2,4,April,23,Thursday
20200424,24/04/2020,2020,Q2,4,April,24,Friday
20200425,25/04/2020,2020,Q2,4,April,25,Saturday
20200426,26/04/2020,2020,Q2,4,April,26,Sunday
20200427,27/04/2020,2020,Q2,4,April,27,Monday
20200428,28/04/2020,2020,Q2,4,April,28,Tuesday
20200429,29/04/2020,2020,Q2,4,April,29,Wednesday
20200430,30/04/2020,2020,Q2,4,April,30,Thursday
20200501,01/05/2020,2020,Q2,5,May,1,Friday
20200502,02/05/2020,2020,Q2,5,May,2,Saturday
20200503,03/05/2020,2020,Q2,5,May,3,Sunday
20200504,04/05/2020,2020,Q2,5,May,4,Monday
20200505,05/05/2020,2020,Q2,5,May,5,Tuesday
20200506,06/05/2020,2020,Q2,5,May,6,Wednesday
20200507,07/05/2020,2020,Q2,5,May,7,Thursday
20200508,08/05/2020,2020,Q2,5,May,8,Friday
20200509,09/05/2020,2020,Q2,5,May,9,Saturday
20200510,10/05/2020,2020,Q2,5,May,10,Sunday
20200511,11/05/2020,2020,Q2,5,May,11,Monday
20200512,12/05/2020,2020,Q2,5,May,12,Tuesday
20200513,13/05/2020,2020,Q2,5,May,13,Wednesday
20200514,14/05/2020,2020,Q2,5,May,14,Thursday
20200515,15/05/2020,2020,Q2,5,May,15,Friday
20200516,16/05/2020,2020,Q2,5,May,16,Saturday
20200517,17/05/2020,2020,Q2,5,May,17,Sunday
20200518,18/05/2020,2020,Q2,5,May,18,Monday
20200519,19/05/2020,2020,Q2,5,May,19,Tuesday
20200520,20/05/2020,2020,Q2,5,May,20,Wednesday
