ClaimID,PolicyNo,ClaimDate,ClaimType,ClaimAmount,Status,SettlementDate
CLM00001,POL29107,07/04/2023,Collision,500000,Pending,
CLM00002,POL16900,30/05/2025,Collision,,Rejected,
CLM00003,POL27037,01/08/2021,Illness,90000,Rejected,
CLM00004,POL10803,27/04/2021,Accident,250000,Under Review,
CLM00005,POL05116,25/02/2021,Fire,250000,Approved,28/04/2021
CLM00006,POL11031,21/05/2025,Flood,90000,Rejected,
CLM00007,POL19961,07/02/2024,Burglary,90000,Rejected,
CLM00008,POL25435,23/06/2024,Flood,500000,Rejected,
CLM00009,POL24780,02/02/2024,Illness,120000,Rejected,
CLM00010,POL24617,04/03/2026,Flood,500000,Pending,
CLM00011,POL12921,14/05/2024,Burglary,90000,Pending,
CLM00012,POL09859,18/02/2025,Burglary,45000,Approved,22/03/2025
CLM00013,POL07689,24/01/2022,Fire,45000,Pending,
CLM00014,POL24915,29/09/2021,Collision,75000,Under Review,
CLM00015,POL04881,07/10/2024,Flood,120000,Under Review,
CLM00016,POL03570,08/11/2021,Collision,250000,Rejected,
CLM00017,POL20117,24/04/2025,Accident,120000,Pending,
CLM00018,POL12754,17/07/2025,Accident,,Approved,10/10/2025
CLM00019,POL29900,07/03/2024,Collision,250000,Approved,30/05/2024
CLM00020,POL17206,24/02/2020,Collision,75000,Rejected,
CLM00021,POL14313,15/04/2024,Flood,45000,Pending,
CLM00022,POL12213,21/05/2023,Flood,,Under Review,
CLM00023,POL19926,10/02/2025,Collision,45000,Approved,10/04/2025
CLM00024,POL04825,20/04/2023,Accident,500000,Under Review,
CLM00025,POL12780,25/02/2022,Accident,45000,Pending,
CLM00026,POL25098,22/06/2026,Illness,500000,Approved,30/08/2026
CLM00027,POL15574,16/05/2021,Theft,90000,Under Review,
CLM00028,POL25835,24/07/2022,Theft,250000,Approved,30/08/2022
CLM00029,POL05091,23/10/2021,Illness,,Approved,23/11/2021
CLM00030,POL10703,20/09/2022,Accident,45000,Pending,
CLM00031,POL12054,08/10/2024,Fire,250000,Under Review,
CLM00032,POL07170,21/05/2023,Fire,120000,Pending,
CLM00033,POL11456,10/07/2025,Collision,75000,Under Review,
CLM00034,POL01576,25/12/2024,Fire,90000,Under Review,
CLM00035,POL00706,27/03/2023,Burglary,90000,Pending,
CLM00036,POL25098,27/06/2026,Theft,,Rejected,
CLM00037,POL08280,26/07/2022,Theft,250000,Rejected,
CLM00038,POL19209,11/09/2024,Flood,45000,Rejected,
CLM00039,POL07893,16/05/2025,Fire,45000,Pending,
CLM00040,POL01063,07/03/2023,Collision,120000,Rejected,
CLM00041,POL25754,20/04/2020,Accident,45000,Pending,
CLM00042,POL08927,03/11/2020,Accident,75000,Pending,
CLM00043,POL16778,23/10/2022,Accident,500000,Under Review,
CLM00044,POL15804,15/10/2021,Accident,120000,Under Review,
CLM00045,POL01224,27/06/2023,Accident,120000,Approved,26/07/2023
CLM00046,POL09909,17/07/2021,Collision,120000,Approved,02/09/2021
CLM00047,POL10606,24/06/2021,Theft,75000,Rejected,
CLM00048,POL05770,21/01/2025,Burglary,500000,Pending,
CLM00049,POL22510,01/01/2021,Illness,75000,Rejected,
CLM00050,POL23555,03/08/2025,Fire,75000,Pending,
CLM00051,POL10550,19/04/2026,Burglary,120000,Under Review,
CLM00052,POL16728,31/07/2023,Illness,75000,Pending,
CLM00053,POL01690,14/12/2025,Theft,500000,Rejected,
CLM00054,POL18323,25/10/2020,Theft,120000,Approved,15/01/2021
CLM00055,POL11649,17/05/2023,Flood,45000,Under Review,
CLM00056,POL18618,17/05/2025,Illness,75000,Under Review,
CLM00057,POL16610,16/01/2022,Burglary,90000,Under Review,
CLM00058,POL27783,25/11/2024,Burglary,90000,Pending,
CLM00059,POL13016,27/02/2023,Illness,90000,Approved,16/05/2023
CLM00060,POL16190,06/09/2023,Accident,75000,Under Review,
CLM00061,POL06622,30/06/2024,Accident,120000,Approved,04/08/2024
CLM00062,POL27914,04/08/2021,Collision,90000,Pending,
CLM00063,POL16348,11/07/2020,Accident,250000,Under Review,
CLM00064,POL01003,10/10/2022,Burglary,45000,Pending,
CLM00065,POL01956,15/05/2020,Burglary,250000,Approved,12/09/2020
CLM00066,POL05278,30/09/2023,Theft,250000,Rejected,
CLM00067,POL05873,23/06/2022,Accident,250000,Approved,04/10/2022
CLM00068,POL25505,31/03/2022,Collision,500000,Rejected,
CLM00069,POL28906,03/02/2025,Theft,120000,Pending,
CLM00070,POL15218,10/08/2022,Collision,500000,Under Review,
CLM00071,POL20131,26/03/2025,Accident,,Approved,05/06/2025
CLM00072,POL04135,11/03/2022,Flood,45000,Approved,07/04/2022
CLM00073,POL20237,06/05/2022,Collision,250000,Under Review,
CLM00074,POL16519,12/02/2024,Accident,90000,Approved,06/05/2024
CLM00075,POL07562,01/02/2025,Flood,75000,Under Review,
CLM00076,POL07909,13/03/2021,Illness,45000,Under Review,
CLM00077,POL15600,22/07/2021,Fire,75000,Rejected,
CLM00078,POL00906,12/09/2024,Collision,90000,Approved,26/10/2024
CLM00079,POL01326,25/01/2025,Illness,500000,Under Review,
CLM00080,POL08512,05/08/2024,Theft,250000,Pending,
CLM00081,POL21439,29/10/2022,Theft,250000,Pending,
CLM00082,POL29848,27/05/2021,Burglary,45000,Under Review,
CLM00083,POL05472,06/07/2021,Burglary,250000,Pending,
CLM00084,POL16962,28/02/2021,Flood,75000,Pending,
CLM00085,POL27731,17/10/2023,Accident,90000,Under Review,
CLM00086,POL21661,03/05/2021,Flood,90000,Approved,05/07/2021
CLM00087,POL11372,24/11/2027,Collision,75000,Rejected,
CLM00088,POL18504,07/09/2021,Collision,90000,Rejected,
CLM00089,POL14455,05/06/2021,Accident,500000,Under Review,
CLM00090,POL22959,28/06/2025,Theft,90000,Pending,
CLM00091,POL27033,26/08/2021,Accident,75000,Pending,
CLM00092,POL15660,23/03/2021,Flood,500000,Rejected,
CLM00093,POL19530,26/07/2023,Collision,500000,Rejected,
CLM00094,POL12651,07/08/2022,Fire,500000,Rejected,
CLM00095,POL27579,01/02/2021,Collision,500000,Pending,
CLM00096,POL09608,23/04/2021,Accident,90000,Pending,
CLM00097,POL01500,30/08/2022,Fire,120000,Approved,30/09/2022
CLM00098,POL16778,26/06/2023,Illness,250000,Approved,16/08/2023
CLM00099,POL10539,06/05/2025,Accident,250000,Pending,
CLM00100,POL24136,25/02/2021,Illness,90000,Under Review,
CLM00101,POL04268,08/02/2025,Accident,250000,Pending,
CLM00102,POL00421,31/03/2024,Illness,250000,Pending,
CLM00103,POL01424,08/11/2021,Collision,250000,Under Review,
CLM00104,POL05932,19/10/2024,Illness,500000,Pending,
CLM00105,POL03352,16/01/2025,Theft,90000,Under Review,
CLM00106,POL27424,24/09/2022,Collision,250000,Pending,
CLM00107,POL01050,08/01/2022,Theft,500000,Pending,
CLM00108,POL07485,02/06/2022,Accident,45000,Under Review,
CLM00109,POL21124,22/09/2023,Flood,45000,Pending,
CLM00110,POL25703,22/09/2021,Flood,75000,Approved,25/11/2021
CLM00111,POL09330,23/04/2022,Illness,45000,Rejected,
CLM00112,POL00813,17/06/2021,Theft,500000,Under Review,
CLM00113,POL15486,20/04/2024,Theft,250000,Rejected,
CLM00114,POL00747,07/05/2022,Theft,45000,Under Review,
CLM00115,POL15990,07/07/2024,Collision,500000,Under Review,
CLM00116,POL13963,18/01/2024,Accident,250000,Rejected,
CLM00117,POL12823,03/03/2023,Theft,500000,Rejected,
CLM00118,POL15419,18/03/2022,Burglary,90000,Approved,15/05/2022
CLM00119,POL07486,15/08/2022,Fire,75000,Under Review,
CLM00120,POL08786,22/12/2021,Fire,75000,Rejected,
CLM00121,POL17353,26/05/2023,Collision,75000,Under Review,
CLM00122,POL13633,28/12/2022,Accident,45000,Pending,
CLM00123,POL22628,10/12/2023,Flood,75000,Pending,
CLM00124,POL11280,03/01/2025,Accident,90000,Under Review,
CLM00125,POL03854,14/03/2023,Flood,120000,Approved,12/07/2023
CLM00126,POL28541,23/04/2026,Theft,500000,Under Review,
CLM00127,POL22852,10/07/2023,Burglary,90000,Under Review,
CLM00128,POL17806,22/06/2020,Fire,500000,Pending,
CLM00129,POL27151,03/12/2026,Accident,250000,Under Review,
CLM00130,POL25313,13/08/2024,Collision,500000,Pending,
CLM00131,POL20299,24/10/2024,Accident,500000,Under Review,
CLM00132,POL05053,25/10/2021,Accident,,Pending,
CLM00133,POL03073,24/04/2025,Accident,500000,Pending,
CLM00134,POL16824,19/02/2022,Collision,120000,Under Review,
CLM00135,POL01681,18/01/2021,Fire,75000,Approved,25/01/2021
CLM00136,POL07793,15/02/2021,Theft,45000,Pending,
