PolicyNo,CustomerID,ProductID,AgentID,StartDate,EndDate,Status
POL00001,CUST1114,PROD014,AGT063,2021-06-11,2021-12-08,
POL00002,CUST1984,PROD001,AGT015,2021-08-04,2024-07-19,Active
POL00003,CUST2660,PROD002,AGT116,2023-07-03,2023-12-30,Active
POL00004,CUST0632,PROD007,AGT109,2024-04-06,2026-03-27,Active
POL00005,CUST0585,PROD002,AGT119,2020-03-06,2021-03-01,Active
POL00006,CUST2971,PROD011,AGT013,2022-04-22,2022-10-19,Active
POL00007,CUST1585,PROD017,AGT085,2023-01-04,2025-12-19,Expired
POL00008,CUST2877,PROD009,AGT076,2023-09-20,2024-03-18,Active
POL00009,CUST0859,PROD012,AGT020,2023-07-06,2026-06-20,Active
POL00010,CUST2554,PROD014,AGT038,2021-03-05,2022-02-28,Active
POL00011,CUST2394,PROD015,AGT071,2020-06-25,2022-06-15,Active
POL00012,CUST2509,PROD001,AGT080,2024-10-24,2026-10-14,Expired
POL00013,CUST1182,PROD011,AGT039,2020-12-10,2021-12-05,Active
POL00014,CUST1644,PROD004,AGT001,2023-07-02,2025-06-21,Expired
POL00015,CUST1864,PROD015,AGT026,2021-11-05,2022-10-31,Cancelled
POL00016,CUST2125,PROD008,AGT064,2020-02-26,2021-02-20,Cancelled
POL00017,CUST1076,PROD016,AGT013,2020-12-24,2022-12-14,Active
POL00018,CUST0376,PROD003,AGT089,2020-09-27,2021-09-22,Expired
POL00019,CUST2724,PROD015,AGT110,2024-10-04,2025-09-29,Expired
POL00020,CUST1648,PROD013,AGT021,2023-12-24,2025-12-13,Expired
POL00021,CUST2417,PROD014,AGT030,2021-10-20,2022-10-15,Active
POL00022,CUST1605,PROD017,AGT069,2023-12-21,2024-06-18,Expired
POL00023,CUST2624,PROD015,AGT084,2024-07-07,2026-06-27,Expired
POL00024,CUST2354,PROD008,AGT115,2021-04-06,2021-10-03,Active
POL00025,CUST1517,PROD019,AGT084,2021-07-31,2024-07-15,Active
POL00026,CUST2156,PROD013,AGT076,2020-04-18,2022-04-08,Expired
POL00027,CUST1897,PROD013,AGT073,2020-03-30,2021-03-25,Active
POL00028,CUST0342,PROD012,AGT090,2021-06-28,2021-12-25,Expired
POL00029,CUST1343,PROD008,AGT002,2022-04-12,2023-04-07,Expired
POL00030,CUST2423,PROD020,AGT100,2024-03-03,2025-02-26,Expired
POL00031,CUST2704,PROD018,AGT086,2020-10-04,2022-09-24,Expired
POL00032,CUST0338,PROD001,AGT017,2023-09-02,2024-08-27,Active
POL00033,CUST2742,PROD018,AGT081,2025-06-10,2026-06-05,Expired
POL00034,CUST1637,PROD019,AGT100,2025-03-06,2026-03-01,
POL00035,CUST0500,PROD004,AGT069,2020-04-04,2023-03-20,Active
POL00036,CUST2266,PROD011,AGT043,2022-06-22,2024-06-11,Expired
POL00037,CUST1116,PROD001,AGT104,2022-04-28,2023-04-23,Active
POL00038,CUST0968,PROD004,AGT101,2025-03-13,2026-03-08,Expired
POL00039,CUST1908,PROD004,AGT011,2025-01-20,2027-01-10,Active
POL00040,CUST0794,PROD017,AGT044,2024-11-12,2025-11-07,Active
POL00041,CUST2144,PROD016,AGT082,2020-11-10,2022-10-31,Expired
POL00042,CUST0727,PROD009,AGT080,2023-08-17,2024-02-13,Active
POL00043,CUST0965,PROD019,AGT116,2024-03-07,2026-02-25,Active
POL00044,CUST1422,PROD005,AGT047,2020-03-30,2021-03-25,Expired
POL00045,CUST0772,PROD006,AGT070,2021-09-08,2022-03-07,Active
POL00046,CUST2615,PROD017,AGT069,2024-03-26,2027-03-11,Expired
POL00047,CUST2552,PROD010,AGT055,2020-07-19,2021-07-14,Expired
POL00048,CUST2802,PROD013,AGT049,2024-02-18,2025-02-12,Active
POL00049,CUST1708,PROD012,AGT097,2024-04-10,2025-04-05,Cancelled
POL00050,CUST1815,PROD013,AGT080,2022-11-13,2025-10-28,Expired
POL00051,CUST1564,PROD005,AGT064,2020-07-13,2021-07-08,Active
POL00052,CUST1219,PROD009,AGT010,2024-03-19,2025-03-14,Expired
POL00053,CUST0747,PROD010,AGT003,2025-03-25,2025-09-21,Active
